antecedents_tagged,consequents_tagged,support,confidence,lift
"正月(DATE), 蒙古(GRP)",元旦(DATE),0.050131926121372,0.926829268292683,11.151374370886566
元旦(DATE),"正月(DATE), 蒙古(GRP)",0.050131926121372,0.6031746031746031,11.151374370886565
正月(DATE),"元旦(DATE), 蒙古(GRP)",0.050131926121372,0.5588235294117647,11.147058823529411
"元旦(DATE), 蒙古(GRP)",正月(DATE),0.050131926121372,1.0,11.147058823529411
"元旦(DATE), 蒙古(GRP)",八旗(SYS),0.050131926121372,1.0,9.24390243902439
"八旗(SYS), 蒙古(GRP)",元旦(DATE),0.050131926121372,0.7307692307692308,8.792429792429793
元旦(DATE),"八旗(SYS), 蒙古(GRP)",0.050131926121372,0.6031746031746031,8.792429792429793
"正月(DATE), 蒙古(GRP)",八旗(SYS),0.050131926121372,0.926829268292683,8.567519333729923
"八旗(SYS), 蒙古(GRP)",正月(DATE),0.050131926121372,0.7307692307692308,8.145927601809955
正月(DATE),"八旗(SYS), 蒙古(GRP)",0.050131926121372,0.5588235294117647,8.145927601809955
正月(DATE),"朔(DATE), 蒙古(GRP)",0.050131926121372,0.5588235294117647,5.430618401206637
元旦(DATE),"康熙(DATE), 蒙古(GRP)",0.050131926121372,0.6031746031746031,4.969634230503795
諸王(OFF),"朔(DATE), 蒙古(GRP)",0.0514511873350923,0.5064935064935064,4.922077922077922
"朔(DATE), 蒙古(GRP)",諸王(OFF),0.0514511873350923,0.5,4.922077922077922
正月(DATE),"康熙(DATE), 蒙古(GRP)",0.0527704485488126,0.5882352941176471,4.846547314578005
"朔(DATE), 蒙古(GRP)",八旗(SYS),0.0514511873350923,0.5,4.621951219512195
"八旗(SYS), 正月(DATE)",蒙古(GRP),0.050131926121372,0.8260869565217391,4.092639954532538
"元旦(DATE), 八旗(SYS)",蒙古(GRP),0.050131926121372,0.8085106382978723,4.00556250869142
"朔(DATE), 蒙古(GRP)",滿洲(GRP),0.0580474934036939,0.5641025641025641,3.4763393787784027
"八旗(SYS), 朔(DATE)",蒙古(GRP),0.0514511873350923,0.6842105263157894,3.389748882008944
"朔(DATE), 諸王(OFF)",蒙古(GRP),0.0514511873350923,0.6290322580645161,3.1163820366856423
"元旦(DATE), 正月(DATE)",蒙古(GRP),0.050131926121372,0.6229508196721312,3.08625308046716
"康熙(DATE), 正月(DATE)",蒙古(GRP),0.0527704485488126,0.6153846153846154,3.0487682252388137
"朔(DATE), 正月(DATE)",蒙古(GRP),0.050131926121372,0.6129032258064516,3.036474804975754
"元旦(DATE), 康熙(DATE)",蒙古(GRP),0.050131926121372,0.6129032258064516,3.036474804975754
"朔(DATE), 滿洲(GRP)",蒙古(GRP),0.0580474934036939,0.6111111111111112,3.027596223674656
元旦(DATE),蒙古(GRP),0.050131926121372,0.6031746031746031,2.988276792198361
正月(DATE),蒙古(GRP),0.0540897097625329,0.6029411764705882,2.987120338331411
"朔(DATE), 蒙古(GRP)",大學士(OFF),0.0620052770448548,0.6025641025641026,2.7514674080939145
"正月(DATE), 蒙古(GRP)",朔(DATE),0.050131926121372,0.926829268292683,2.1954268292682926
"蒙古(GRP), 諸王(OFF)",朔(DATE),0.0514511873350923,0.8666666666666667,2.0529166666666665
"元旦(DATE), 蒙古(GRP)",康熙(DATE),0.050131926121372,1.0,2.0267379679144386
"正月(DATE), 蒙古(GRP)",康熙(DATE),0.0527704485488126,0.9756097560975612,1.977305334550672
"八旗(SYS), 蒙古(GRP)",朔(DATE),0.0514511873350923,0.75,1.7765625
"大學士(OFF), 蒙古(GRP)",朔(DATE),0.0620052770448548,0.712121212121212,1.686837121212121
"朔(DATE), 蒙古(GRP)",實錄(SYS),0.0567282321899736,0.5512820512820513,1.5768746976294148
