word,category
一一,NONE
丁巳,DATE
七日,NONE
上天,NONE
上帝,NONE
不受,NONE
不求,NONE
不私,NONE
不計怨,NONE
世祖,DATE
丙辰,DATE
主,NONE
乃誓告,NONE
之心,NONE
之神,NONE
之言,NONE
乾清門,LOC
事,NONE
二人,NONE
五日,NONE
今主上,NONE
今宜,NONE
令草,NONE
以下,NONE
仰報,NONE
任學士,NONE
何能,NONE
來國,NONE
侍衛,OFF
保翊冲,NONE
俟,NONE
兄弟,NONE
先,NONE
全設,NONE
公,OFF
公賴護行,NONE
共任,NONE
共生死,NONE
其勿,NONE
其詞,NONE
凶,NONE
前然後受,NONE
前誓,NONE
務惟,NONE
十八年,DATE
協忠,NONE
協理,OFF
即,NONE
受,NONE
召原,NONE
各官,NONE
各為,NONE
命立,NONE
四人,NONE
國家,NONE
壬子,DATE
夜子刻,DATE
大,NONE
大恩,NONE
大漸,NONE
大臣,NONE
大行,NONE
大駕,NONE
太廟,LOC
失聲,NONE
奏,NONE
奏知,NONE
奪算,NONE
姓名,NONE
委以,NONE
姪,NONE
子,NONE
孟春享,NONE
宗室,GRP
官,NONE
宣示,NONE
宣訖,NONE
宣讀,NONE
家政,NONE
寄,NONE
并,NONE
庸劣,NONE
往來,NONE
從,NONE
御名,NONE
復,NONE
心殿,NONE
必隆,NONE
忠心,NONE
惟以,NONE
戊午,DATE
成服,NONE
我,NONE
拜,NONE
捧,NONE
撰擬付,NONE
故,NONE
教唆,NONE
敢干,NONE
文武,NONE
旁人,NONE
日,NONE
春,NONE
更衣,NONE
朔越,NONE
朕,NONE
正月,DATE
此同,NONE
殛,NONE
汝四,NONE
深知,NONE
無義之富,NONE
王,OFF
王熙,PER
王貝勒,OFF
甚明,NONE
畢麻勒吉,NONE
異姓,NONE
痛哭,NONE
皇上,NONE
皇天,NONE
皇太后,NONE
皇太子,NONE
皇帝,NONE
神位,NONE
祭太歲,NONE
禮遣官,NONE
章,NONE
簿,NONE
索尼,PER
綜理,NONE
罰,NONE
聽,NONE
臣子,NONE
自責定,NONE
至養,NONE
舉哀,NONE
若,NONE
蘇克薩哈遏,NONE
行,NONE
行天下,NONE
親戚,NONE
託,NONE
詔奏知,NONE
詔旨,NONE
詔書著,NONE
詞,NONE
誅,NONE
誓,NONE
誠,NONE
誰,NONE
諭,NONE
諸王,OFF
讎,NONE
讓,NONE
豫,NONE
貝勒,OFF
貝勒等府,NONE
貝勒貝子,OFF
貴不私,NONE
賄賂,NONE
賈卜嘉,PER
賈卜嘉爾,PER
賈卜嘉進,PER
賓天,NONE
跪告,NONE
身謀有,NONE
輔佐冲主,NONE
輔佐政務,NONE
輔國,NONE
輔政,NONE
辛丑,DATE
辛亥,DATE
遂,NONE
違斯誓,NONE
遣,NONE
遵旨,NONE
遺不結,NONE
遺詔,NONE
遺詔命,NONE
遺詔奏知,NONE
遺詔遣,NONE
重務,NONE
降旨,NONE
靈位,NONE
順治,DATE
預四,NONE
頒,NONE
餽,NONE
鰲,NONE
鹵,NONE
麻勒吉,PER
麻勒吉學士,PER
麻勒吉懷收,NONE
黨羽,NONE
齊集,NONE
一切,NONE
一嗣後凡,NONE
一年,NONE
一級,NONE
一體,NONE
三年,NONE
上加,NONE
上官,NONE
不宜,NONE
不已,NONE
不肯,NONE
不致,NONE
不論,NONE
並令督,NONE
並未議,NONE
乃,NONE
之例,NONE
之內,NONE
之後題,NONE
之罪,NONE
之鉅典,NONE
事中,NONE
二月,DATE
京官,NONE
今後經,NONE
介山為,NONE
仍,NONE
仍照,NONE
以上,NONE
以後降,NONE
以致,NONE
任,NONE
作弊,NONE
作速,NONE
使過,NONE
來,NONE
依限捕,NONE
侵,NONE
係,NONE
保奏,NONE
俸,NONE
借口,NONE
停,NONE
催,NONE
催有司,NONE
內外,NONE
全城,NONE
兵部,OFF
具奏,NONE
再三,NONE
准禮,NONE
准與題,NONE
准題,NONE
凡有,NONE
分職,NONE
刑部,OFF
前,NONE
副,NONE
創而罪,NONE
功大因,NONE
加意,NONE
勒令,NONE
勒索,NONE
勸懲,NONE
南米,NONE
即會同,NONE
原,NONE
去,NONE
參罰,NONE
右侍郎,OFF
司則,NONE
各官須,NONE
各省,NONE
各部,NONE
吏部,OFF
向,NONE
告,NONE
哀戀,NONE
員伏,NONE
員有,NONE
啟心郎,OFF
回宮轉,NONE
因事,NONE
圍攻,NONE
圖爾特為,NONE
地,NONE
堅心守,NONE
壬午,DATE
壽皇殿,LOC
外官,OFF
大小,NONE
奉,NONE
奉移,NONE
如,NONE
如將,NONE
如限內,NONE
始計滿,NONE
安奉,NONE
完,NONE
完之官,NONE
完解,NONE
完解緝,NONE
官役,OFF
官積,NONE
官著,NONE
實降黜,NONE
寺,NONE
對喀納,PER
尼滿,PER
崇明,LOC
工部,OFF
左,NONE
左侍郎,OFF
己卯,DATE
年限,NONE
得旨,NONE
徵比,NONE
怠,NONE
急需,NONE
悲慟,NONE
愆期,NONE
慰諭,NONE
應懲,NONE
應革職,NONE
成肇毅,PER
戶部,OFF
戶部議,NONE
扣除,NONE
扶龍,NONE
拏,NONE
拖欠,NONE
按期,NONE
推委,NONE
撫釐革,NONE
支吾,NONE
收放,NONE
文武官,NONE
新選,NONE
方與題,NONE
日月,NONE
日期,NONE
景山,LOC
有法,NONE
有罪,NONE
有過,NONE
朔以,NONE
梓宮,NONE
欠方,NONE
步行,NONE
民欠,NONE
江南,LOC
浙江,LOC
滿漢,GRP
濫委,NONE
無過,NONE
獲者,NONE
甚多,NONE
甚少,NONE
用示,NONE
留任,NONE
畢上,NONE
當賊,NONE
疏言,NONE
皇殿,NONE
盜,NONE
盡心督,NONE
直隸,LOC
督,NONE
知州用,NONE
知府,OFF
知縣,OFF
確議,NONE
祭大行,NONE
禦,NONE
科爾科代為,NONE
科給,NONE
移梓宮,NONE
稱職,NONE
立法,NONE
管錢,NONE
糧,NONE
糧有,NONE
糧未,NONE
糧能,NONE
糧革,NONE
累後官,NONE
經管,NONE
縣任,NONE
縣知,NONE
縣陳慎,NONE
縣革,NONE
總督,OFF
職知,NONE
自應畫,NONE
至壽,NONE
至於,NONE
著留,NONE
處分,NONE
號泣,NONE
被,NONE
見,NONE
觀後效,NONE
設官,NONE
許題,NONE
該,NONE
請,NONE
議覆,NONE
貽,NONE
賊,NONE
軍國,NONE
輿,NONE
轉,NONE
轉必待,NONE
轉爾,NONE
轉者,NONE
辛巳,DATE
近覽章,NONE
逋,NONE
通判,OFF
通政使,OFF
過罰,NONE
還再,NONE
那,NONE
郎廷佐,PER
部俱治以,NONE
都察院,OFF
都御史,OFF
酌立,NONE
錢,NONE
開,NONE
陋規,NONE
降,NONE
降級,NONE
陞,NONE
陟,NONE
雖有,NONE
革者,NONE
題定,NONE
黜,NONE
龔榜,PER
一之規,NONE
一代,NONE
丁徭略示,NONE
丁糧,SYS
三月,DATE
不得,NONE
不必,NONE
並筆,NONE
久,NONE
之一,NONE
九卿,OFF
人,NONE
以成,NONE
任且,NONE
任定,NONE
但計,NONE
侍郎,OFF
修理,NONE
俱著久任,NONE
倚,NONE
優恤,NONE
允當,NONE
充烏,NONE
克西,NONE
克騰,NONE
八十五,NONE
公古睦,PER
兵丁,NONE
典制戶,NONE
再,NONE
冰圖,NONE
分例,NONE
功德,NONE
卷,NONE
厄,NONE
厄林,NONE
參蒿,NONE
古祿,NONE
台吉,OFF
各進,NONE
吳喇忒鎮,LOC
和,NONE
品級,NONE
哈察哈爾,PER
喀,NONE
喇嘛,NONE
喇沁,NONE
囊,NONE
四子,NONE
固山,SYS
國公,OFF
圖噶布楚,PER
土默特,GRP
地利,NONE
垂,NONE
垓,NONE
塔布,NONE
壓,NONE
多斯,NONE
多羅,OFF
多羅貝勒額,NONE
多羅額爾德尼,PER
大務,NONE
大清,NONE
天弘運,NONE
奉法,NONE
妥議,NONE
孝敬,NONE
完分,NONE
官穆生輝,PER
官銜,NONE
宜立畫,NONE
實錄,SYS
寬裕,NONE
專理,NONE
尚有,NONE
尼特,NONE
居住,NONE
屯,NONE
山,NONE
巖,NONE
州,NONE
巡撫,OFF
差滿,NONE
已久,NONE
巴林,GRP
巴格,NONE
帖式,NONE
帝王,NONE
