antecedents,consequents,ant_len,cons_len,support,confidence,lift,antecedents_tagged,consequents_tagged
固山,貝子,1,1,0.051451187335092345,0.9285714285714286,15.996753246753247,固山(SYS),貝子(OFF)
貝子,固山,1,1,0.051451187335092345,0.8863636363636364,15.996753246753247,貝子(OFF),固山(SYS)
兼禮部,"侍郎, 內閣",1,2,0.05013192612137203,0.95,15.32127659574468,兼禮部(OFF),"侍郎(OFF), 內閣(OFF)"
"侍郎, 內閣",兼禮部,2,1,0.05013192612137203,0.8085106382978723,15.32127659574468,"侍郎(OFF), 內閣(OFF)",兼禮部(OFF)
藩王,"元旦, 王",1,2,0.05013192612137203,0.6785714285714286,13.535714285714286,藩王(OFF),"元旦(DATE), 王(OFF)"
"元旦, 王",藩王,2,1,0.05013192612137203,1.0,13.535714285714285,"元旦(DATE), 王(OFF)",藩王(OFF)
朝鮮國王,"堂子, 滿洲",1,2,0.051451187335092345,0.7090909090909091,13.437272727272727,朝鮮國王(PER),"堂子(LOC), 滿洲(GRP)"
"堂子, 滿洲",朝鮮國王,2,1,0.051451187335092345,0.9749999999999999,13.437272727272726,"堂子(LOC), 滿洲(GRP)",朝鮮國王(PER)
"八旗, 堂子",朝鮮國王,2,1,0.052770448548812667,0.9523809523809524,13.125541125541128,"八旗(SYS), 堂子(LOC)",朝鮮國王(PER)
朝鮮國王,"八旗, 堂子",1,2,0.052770448548812667,0.7272727272727273,13.125541125541126,朝鮮國王(PER),"八旗(SYS), 堂子(LOC)"
朝鮮國王,"堂子, 正月",1,2,0.0712401055408971,0.9818181818181819,13.056459330143541,朝鮮國王(PER),"堂子(LOC), 正月(DATE)"
朝鮮國王,"元旦, 堂子",1,2,0.0712401055408971,0.9818181818181819,13.056459330143541,朝鮮國王(PER),"元旦(DATE), 堂子(LOC)"
朝鮮國王,"堂子, 朔",1,2,0.0712401055408971,0.9818181818181819,13.056459330143541,朝鮮國王(PER),"堂子(LOC), 朔(DATE)"
"堂子, 正月",朝鮮國王,2,1,0.0712401055408971,0.9473684210526315,13.056459330143541,"堂子(LOC), 正月(DATE)",朝鮮國王(PER)
"元旦, 堂子",朝鮮國王,2,1,0.0712401055408971,0.9473684210526315,13.056459330143541,"元旦(DATE), 堂子(LOC)",朝鮮國王(PER)
"堂子, 朔",朝鮮國王,2,1,0.0712401055408971,0.9473684210526315,13.056459330143541,"堂子(LOC), 朔(DATE)",朝鮮國王(PER)
"堂子, 藩王",朝鮮國王,2,1,0.0633245382585752,0.9411764705882353,12.971122994652408,"堂子(LOC), 藩王(OFF)",朝鮮國王(PER)
"堂子, 大學士",朝鮮國王,2,1,0.0633245382585752,0.9411764705882353,12.971122994652408,"堂子(LOC), 大學士(OFF)",朝鮮國王(PER)
朝鮮國王,"堂子, 藩王",1,2,0.0633245382585752,0.8727272727272728,12.971122994652406,朝鮮國王(PER),"堂子(LOC), 藩王(OFF)"
朝鮮國王,"堂子, 大學士",1,2,0.0633245382585752,0.8727272727272728,12.971122994652406,朝鮮國王(PER),"堂子(LOC), 大學士(OFF)"
"朔, 朝鮮國王",堂子,2,1,0.0712401055408971,1.0,12.847457627118644,"朔(DATE), 朝鮮國王(PER)",堂子(LOC)
"朝鮮國王, 藩王",堂子,2,1,0.0633245382585752,1.0,12.847457627118644,"朝鮮國王(PER), 藩王(OFF)",堂子(LOC)
"朝鮮國王, 貝勒貝子",堂子,2,1,0.06464379947229551,1.0,12.847457627118644,"朝鮮國王(PER), 貝勒貝子(OFF)",堂子(LOC)
"朝鮮國王, 諸王",堂子,2,1,0.0633245382585752,1.0,12.847457627118644,"朝鮮國王(PER), 諸王(OFF)",堂子(LOC)
"大學士, 朝鮮國王",堂子,2,1,0.0633245382585752,1.0,12.847457627118644,"大學士(OFF), 朝鮮國王(PER)",堂子(LOC)
堂子,"朔, 朝鮮國王",1,2,0.0712401055408971,0.9152542372881356,12.847457627118644,堂子(LOC),"朔(DATE), 朝鮮國王(PER)"
堂子,"朝鮮國王, 貝勒貝子",1,2,0.06464379947229551,0.8305084745762711,12.847457627118644,堂子(LOC),"朝鮮國王(PER), 貝勒貝子(OFF)"
堂子,"朝鮮國王, 藩王",1,2,0.0633245382585752,0.8135593220338984,12.847457627118644,堂子(LOC),"朝鮮國王(PER), 藩王(OFF)"
堂子,"朝鮮國王, 諸王",1,2,0.0633245382585752,0.8135593220338984,12.847457627118644,堂子(LOC),"朝鮮國王(PER), 諸王(OFF)"
堂子,"大學士, 朝鮮國王",1,2,0.0633245382585752,0.8135593220338984,12.847457627118644,堂子(LOC),"大學士(OFF), 朝鮮國王(PER)"
朝鮮國王,"堂子, 康熙",1,2,0.0712401055408971,0.9818181818181819,12.831347962382447,朝鮮國王(PER),"堂子(LOC), 康熙(DATE)"
"堂子, 康熙",朝鮮國王,2,1,0.0712401055408971,0.9310344827586208,12.831347962382447,"堂子(LOC), 康熙(DATE)",朝鮮國王(PER)
"正月, 滿洲",朝鮮國王,2,1,0.052770448548812667,0.9302325581395349,12.820295983086682,"正月(DATE), 滿洲(GRP)",朝鮮國王(PER)
朝鮮國王,"正月, 滿洲",1,2,0.052770448548812667,0.7272727272727273,12.82029598308668,朝鮮國王(PER),"正月(DATE), 滿洲(GRP)"
"八旗, 貝勒貝子",朝鮮國王,2,1,0.051451187335092345,0.9285714285714286,12.797402597402598,"八旗(SYS), 貝勒貝子(OFF)",朝鮮國王(PER)
朝鮮國王,"八旗, 貝勒貝子",1,2,0.051451187335092345,0.7090909090909091,12.797402597402598,朝鮮國王(PER),"八旗(SYS), 貝勒貝子(OFF)"
"堂子, 貝勒貝子",朝鮮國王,2,1,0.06464379947229551,0.9245283018867924,12.741680960548884,"堂子(LOC), 貝勒貝子(OFF)",朝鮮國王(PER)
"元旦, 貝勒貝子",朝鮮國王,2,1,0.06464379947229551,0.9245283018867924,12.741680960548884,"元旦(DATE), 貝勒貝子(OFF)",朝鮮國王(PER)
朝鮮國王,"堂子, 貝勒貝子",1,2,0.06464379947229551,0.8909090909090909,12.741680960548884,朝鮮國王(PER),"堂子(LOC), 貝勒貝子(OFF)"
朝鮮國王,"元旦, 貝勒貝子",1,2,0.06464379947229551,0.8909090909090909,12.741680960548884,朝鮮國王(PER),"元旦(DATE), 貝勒貝子(OFF)"
"堂子, 諸王",朝鮮國王,2,1,0.0633245382585752,0.9230769230769232,12.721678321678324,"堂子(LOC), 諸王(OFF)",朝鮮國王(PER)
"元旦, 大學士",朝鮮國王,2,1,0.0633245382585752,0.9230769230769232,12.721678321678324,"元旦(DATE), 大學士(OFF)",朝鮮國王(PER)
朝鮮國王,"堂子, 諸王",1,2,0.0633245382585752,0.8727272727272728,12.721678321678324,朝鮮國王(PER),"堂子(LOC), 諸王(OFF)"
