antecedents_str,consequents_str,support,confidence,lift
"實錄, 朝鮮國王",戶口,0.5,0.7567567567567568,1.5135135135135136
"戶口, 朝鮮國王",實錄,0.5,1.0,1.5135135135135136
實錄,"戶口, 朝鮮國王",0.5,0.7567567567567568,1.5135135135135136
戶口,"實錄, 朝鮮國王",0.5,1.0,1.5135135135135136
"朝鮮國王, 福陵",太皇太后,0.17857142857142858,0.6666666666666667,1.6231884057971018
福陵,"太皇太后, 朝鮮國王",0.17857142857142858,0.6666666666666667,1.6231884057971018
"尼哈番, 朝鮮國王",福陵,0.14285714285714285,0.5,1.8666666666666667
"朝鮮國王, 福陵",尼哈番,0.14285714285714285,0.5333333333333333,1.8666666666666667
尼哈番,"朝鮮國王, 福陵",0.14285714285714285,0.5,1.8666666666666667
福陵,"尼哈番, 朝鮮國王",0.14285714285714285,0.5333333333333333,1.8666666666666667
"昭陵, 朝鮮國王",福陵,0.26785714285714285,1.0,3.7333333333333334
"朝鮮國王, 福陵",昭陵,0.26785714285714285,1.0,3.7333333333333334
昭陵,"朝鮮國王, 福陵",0.26785714285714285,1.0,3.7333333333333334
福陵,"昭陵, 朝鮮國王",0.26785714285714285,1.0,3.7333333333333334
"昭陵, 朝鮮國王",太皇太后,0.17857142857142858,0.6666666666666667,1.6231884057971018
昭陵,"太皇太后, 朝鮮國王",0.17857142857142858,0.6666666666666667,1.6231884057971018
"尼哈番, 朝鮮國王",昭陵,0.14285714285714285,0.5,1.8666666666666667
"昭陵, 朝鮮國王",尼哈番,0.14285714285714285,0.5333333333333333,1.8666666666666667
尼哈番,"昭陵, 朝鮮國王",0.14285714285714285,0.5,1.8666666666666667
昭陵,"尼哈番, 朝鮮國王",0.14285714285714285,0.5333333333333333,1.8666666666666667
"朝鮮國王, 永陵",福陵,0.26785714285714285,1.0,3.7333333333333334
"朝鮮國王, 福陵",永陵,0.26785714285714285,1.0,3.7333333333333334
永陵,"朝鮮國王, 福陵",0.26785714285714285,1.0,3.7333333333333334
福陵,"朝鮮國王, 永陵",0.26785714285714285,1.0,3.7333333333333334
"朝鮮國王, 永陵",昭陵,0.26785714285714285,1.0,3.7333333333333334
"昭陵, 朝鮮國王",永陵,0.26785714285714285,1.0,3.7333333333333334
永陵,"昭陵, 朝鮮國王",0.26785714285714285,1.0,3.7333333333333334
昭陵,"朝鮮國王, 永陵",0.26785714285714285,1.0,3.7333333333333334
"朝鮮國王, 永陵",太皇太后,0.17857142857142858,0.6666666666666667,1.6231884057971018
永陵,"太皇太后, 朝鮮國王",0.17857142857142858,0.6666666666666667,1.6231884057971018
"朝鮮國王, 永陵",尼哈番,0.14285714285714285,0.5333333333333333,1.8666666666666667
"尼哈番, 朝鮮國王",永陵,0.14285714285714285,0.5,1.8666666666666667
永陵,"尼哈番, 朝鮮國王",0.14285714285714285,0.5333333333333333,1.8666666666666667
尼哈番,"朝鮮國王, 永陵",0.14285714285714285,0.5,1.8666666666666667
"太皇太后, 朝鮮國王",尼哈番,0.2857142857142857,0.6956521739130435,2.4347826086956523
"尼哈番, 朝鮮國王",太皇太后,0.2857142857142857,1.0,2.4347826086956523
太皇太后,"尼哈番, 朝鮮國王",0.2857142857142857,0.6956521739130435,2.4347826086956523
尼哈番,"太皇太后, 朝鮮國王",0.2857142857142857,1.0,2.4347826086956523
"朝鮮國王, 李氏",戶口,0.10714285714285714,0.8571428571428571,1.7142857142857142
李氏,"戶口, 朝鮮國王",0.10714285714285714,0.8571428571428571,1.7142857142857142
"侍衛, 朝鮮國王",外藩,0.4107142857142857,0.8518518518518519,1.7037037037037037
"外藩, 朝鮮國王",侍衛,0.4107142857142857,0.8214285714285714,1.7037037037037037
侍衛,"外藩, 朝鮮國王",0.4107142857142857,0.8518518518518519,1.7037037037037037
外藩,"侍衛, 朝鮮國王",0.4107142857142857,0.8214285714285714,1.7037037037037037
"外藩, 朝鮮國王",直隸,0.375,0.75,1.68
"朝鮮國王, 直隸",外藩,0.375,0.84,1.68
外藩,"朝鮮國王, 直隸",0.375,0.75,1.68
直隸,"外藩, 朝鮮國王",0.375,0.84,1.68
"侍郎, 朝鮮國王",侍衛,0.19642857142857142,1.0,2.074074074074074
侍郎,"侍衛, 朝鮮國王",0.19642857142857142,1.0,2.074074074074074
"侍郎, 朝鮮國王",太皇太后,0.125,0.6363636363636364,1.5494071146245059
侍郎,"太皇太后, 朝鮮國王",0.125,0.6363636363636364,1.5494071146245059
"學士, 朝鮮國王",侍郎,0.17857142857142858,1.0,5.090909090909091
"侍郎, 朝鮮國王",學士,0.17857142857142858,0.9090909090909092,4.62809917355372
學士,"侍郎, 朝鮮國王",0.17857142857142858,0.9090909090909092,4.62809917355372
侍郎,"學士, 朝鮮國王",0.17857142857142858,0.9090909090909092,5.090909090909091
"三旗, 朝鮮國王",侍郎,0.17857142857142858,0.6666666666666667,3.3939393939393945
"侍郎, 朝鮮國王",三旗,0.17857142857142858,0.9090909090909092,3.3939393939393945
三旗,"侍郎, 朝鮮國王",0.17857142857142858,0.6666666666666667,3.3939393939393945
侍郎,"三旗, 朝鮮國王",0.17857142857142858,0.9090909090909092,3.3939393939393945
"朝鮮國王, 王貝勒貝子",侍郎,0.10714285714285714,0.5454545454545454,2.776859504132231
"侍郎, 朝鮮國王",王貝勒貝子,0.10714285714285714,0.5454545454545454,2.776859504132231
王貝勒貝子,"侍郎, 朝鮮國王",0.10714285714285714,0.5454545454545454,2.776859504132231
侍郎,"朝鮮國王, 王貝勒貝子",0.10714285714285714,0.5454545454545454,2.776859504132231
"侍郎, 朝鮮國王",科爾沁,0.125,0.6363636363636364,1.5494071146245059
侍郎,"朝鮮國王, 科爾沁",0.125,0.6363636363636364,1.5494071146245059
"侍郎, 朝鮮國王",土默特,0.125,0.6363636363636364,1.8755980861244017
侍郎,"土默特, 朝鮮國王",0.125,0.6363636363636364,1.8755980861244017
"侍郎, 朝鮮國王",太和,0.10714285714285714,0.5454545454545454,2.3496503496503496
侍郎,"太和, 朝鮮國王",0.10714285714285714,0.5454545454545454,2.3496503496503496
"朝鮮國王, 翁牛特",侍衛,0.32142857142857145,0.8181818181818182,1.696969696969697
"侍衛, 朝鮮國王",翁牛特,0.32142857142857145,0.6666666666666667,1.6969696969696972
翁牛特,"侍衛, 朝鮮國王",0.32142857142857145,0.8181818181818182,1.696969696969697
侍衛,"朝鮮國王, 翁牛特",0.32142857142857145,0.6666666666666667,1.6969696969696972
"朝鮮國王, 翁牛特",外藩,0.375,0.9545454545454546,1.9090909090909092
"外藩, 朝鮮國王",翁牛特,0.375,0.75,1.9090909090909092
翁牛特,"外藩, 朝鮮國王",0.375,0.9545454545454546,1.9090909090909092
外藩,"朝鮮國王, 翁牛特",0.375,0.75,1.9090909090909092
"朝鮮國王, 翁牛特",科爾沁,0.3392857142857143,0.8636363636363636,2.1027667984189726
"朝鮮國王, 科爾沁",翁牛特,0.3392857142857143,0.8260869565217392,2.1027667984189726
翁牛特,"朝鮮國王, 科爾沁",0.3392857142857143,0.8636363636363636,2.1027667984189726
科爾沁,"朝鮮國王, 翁牛特",0.3392857142857143,0.8260869565217392,2.1027667984189726
"朝鮮國王, 翁牛特",巴林,0.3392857142857143,0.8636363636363636,2.015151515151515
"巴林, 朝鮮國王",翁牛特,0.3392857142857143,0.7916666666666667,2.0151515151515156
翁牛特,"巴林, 朝鮮國王",0.3392857142857143,0.8636363636363636,2.015151515151515
巴林,"朝鮮國王, 翁牛特",0.3392857142857143,0.7916666666666667,2.0151515151515156
"朝鮮國王, 翁牛特",台吉,0.3392857142857143,0.8636363636363636,1.9345454545454546
"台吉, 朝鮮國王",翁牛特,0.3392857142857143,0.76,1.9345454545454546
翁牛特,"台吉, 朝鮮國王",0.3392857142857143,0.8636363636363636,1.9345454545454546
台吉,"朝鮮國王, 翁牛特",0.3392857142857143,0.76,1.9345454545454546
"朝鮮國王, 翁牛特",直隸,0.30357142857142855,0.7727272727272727,1.7309090909090907
"朝鮮國王, 直隸",翁牛特,0.30357142857142855,0.6799999999999999,1.7309090909090907
翁牛特,"朝鮮國王, 直隸",0.30357142857142855,0.7727272727272727,1.7309090909090907
直隸,"朝鮮國王, 翁牛特",0.30357142857142855,0.6799999999999999,1.7309090909090907
"三旗, 朝鮮國王",蒙古,0.25,0.9333333333333333,1.5372549019607844
三旗,"朝鮮國王, 蒙古",0.25,0.9333333333333333,1.5372549019607844
"三旗, 朝鮮國王",翁牛特,0.17857142857142858,0.6666666666666667,1.6969696969696972
三旗,"朝鮮國王, 翁牛特",0.17857142857142858,0.6666666666666667,1.6969696969696972
"三旗, 朝鮮國王",外藩,0.23214285714285715,0.8666666666666667,1.7333333333333334
三旗,"外藩, 朝鮮國王",0.23214285714285715,0.8666666666666667,1.7333333333333334
"三旗, 朝鮮國王",科爾沁,0.19642857142857142,0.7333333333333334,1.7855072463768118
三旗,"朝鮮國王, 科爾沁",0.19642857142857142,0.7333333333333334,1.7855072463768118
"三旗, 朝鮮國王",巴林,0.19642857142857142,0.7333333333333334,1.7111111111111112
三旗,"巴林, 朝鮮國王",0.19642857142857142,0.7333333333333334,1.7111111111111112
"三旗, 朝鮮國王",台吉,0.19642857142857142,0.7333333333333334,1.6426666666666667
三旗,"台吉, 朝鮮國王",0.19642857142857142,0.7333333333333334,1.6426666666666667
"三旗, 朝鮮國王",公,0.17857142857142858,0.6666666666666667,1.777777777777778
三旗,"公, 朝鮮國王",0.17857142857142858,0.6666666666666667,1.777777777777778
"土默特, 朝鮮國王",三旗,0.19642857142857142,0.5789473684210525,2.1614035087719294
"三旗, 朝鮮國王",土默特,0.19642857142857142,0.7333333333333334,2.16140350877193
土默特,"三旗, 朝鮮國王",0.19642857142857142,0.5789473684210525,2.1614035087719294
三旗,"土默特, 朝鮮國王",0.19642857142857142,0.7333333333333334,2.16140350877193
"學士, 朝鮮國王",蒙古,0.17857142857142858,1.0,1.647058823529412
"學士, 朝鮮國王",侍衛,0.17857142857142858,1.0,2.074074074074074
學士,"侍衛, 朝鮮國王",0.17857142857142858,0.9090909090909092,1.8855218855218856
