antecedents_str,consequents_str,support,confidence,lift
"噶爾丹, 康熙",台吉,0.2962962962962963,0.6666666666666666,1.5
台吉,"噶爾丹, 康熙",0.2962962962962963,0.6666666666666666,1.5
"台吉, 朔",噶爾丹,0.1111111111111111,1.0,1.5
"朔, 胡土克圖",噶爾丹,0.1111111111111111,1.0,1.5
"噶爾丹, 總兵",實錄,0.2222222222222222,1.0,1.5
"台吉, 總兵",噶爾丹,0.18518518518518517,1.0,1.5
"噶爾丹, 總兵",台吉,0.18518518518518517,0.8333333333333334,1.8750000000000002
"總兵, 胡土克圖",噶爾丹,0.1111111111111111,1.0,1.5
"噶爾丹, 康熙",兵部,0.2222222222222222,0.5,1.5
兵部,"噶爾丹, 康熙",0.2222222222222222,0.6666666666666666,1.5
"噶爾丹, 朔",兵部,0.14814814814814814,0.5714285714285714,1.7142857142857142
"兵部, 台吉",噶爾丹,0.18518518518518517,1.0,1.5
"台吉, 噶爾丹",兵部,0.18518518518518517,0.5,1.5
兵部,"台吉, 噶爾丹",0.18518518518518517,0.5555555555555556,1.5000000000000002
"噶爾丹, 總兵",兵部,0.1111111111111111,0.5,1.5
"兵部, 胡土克圖",噶爾丹,0.1111111111111111,1.0,1.5
"噶爾丹, 康熙",尚書,0.2222222222222222,0.5,1.6875
尚書,"噶爾丹, 康熙",0.2222222222222222,0.75,1.6875
尚書,"噶爾丹, 實錄",0.18518518518518517,0.625,1.5340909090909092
"台吉, 尚書",噶爾丹,0.18518518518518517,1.0,1.5
"台吉, 噶爾丹",尚書,0.18518518518518517,0.5,1.6875
"噶爾丹, 尚書",台吉,0.18518518518518517,0.7142857142857143,1.6071428571428572
尚書,"台吉, 噶爾丹",0.18518518518518517,0.625,1.6875
"兵部, 尚書",噶爾丹,0.14814814814814814,1.0,1.5
"兵部, 噶爾丹",尚書,0.14814814814814814,0.5,1.6875
"噶爾丹, 尚書",兵部,0.14814814814814814,0.5714285714285714,1.7142857142857142
尚書,"兵部, 噶爾丹",0.14814814814814814,0.5,1.6875
"噶爾丹, 總兵",尚書,0.1111111111111111,0.5,1.6875
"噶爾丹, 尚書",胡土克圖,0.18518518518518517,0.7142857142857143,1.9285714285714288
"尚書, 胡土克圖",噶爾丹,0.18518518518518517,1.0,1.5
"噶爾丹, 胡土克圖",尚書,0.18518518518518517,0.5,1.6875
尚書,"噶爾丹, 胡土克圖",0.18518518518518517,0.625,1.6875
胡土克圖,"噶爾丹, 尚書",0.18518518518518517,0.5,1.9285714285714286
"丹巴, 尚書",噶爾丹,0.14814814814814814,1.0,1.5
