antecedents_str,consequents_str,support,confidence,lift
"蒙古, 諸王",外藩,0.18181818181818182,0.6222222222222222,2.903703703703704
"外藩, 蒙古",諸王,0.18181818181818182,0.8484848484848485,2.903703703703704
諸王,"外藩, 蒙古",0.18181818181818182,0.6222222222222222,2.903703703703704
外藩,"蒙古, 諸王",0.18181818181818182,0.8484848484848485,2.903703703703704
"外藩, 蒙古",朔,0.18181818181818182,0.8484848484848485,1.6752136752136755
外藩,"朔, 蒙古",0.18181818181818182,0.8484848484848485,1.6752136752136755
"外藩, 蒙古",實錄,0.16883116883116883,0.787878787878788,1.7333333333333336
外藩,"實錄, 蒙古",0.16883116883116883,0.787878787878788,1.7333333333333336
"外藩, 蒙古",大學士,0.18181818181818182,0.8484848484848485,1.97979797979798
外藩,"大學士, 蒙古",0.18181818181818182,0.8484848484848485,1.97979797979798
"八旗, 蒙古",外藩,0.17532467532467533,0.5192307692307693,2.4230769230769234
"外藩, 蒙古",八旗,0.17532467532467533,0.8181818181818182,2.4230769230769234
八旗,"外藩, 蒙古",0.17532467532467533,0.5192307692307693,2.4230769230769234
外藩,"八旗, 蒙古",0.17532467532467533,0.8181818181818182,2.4230769230769234
"侍衛, 蒙古",外藩,0.14935064935064934,0.6052631578947368,2.8245614035087723
"外藩, 蒙古",侍衛,0.14935064935064934,0.696969696969697,2.8245614035087723
侍衛,"外藩, 蒙古",0.14935064935064934,0.6052631578947368,2.8245614035087723
外藩,"侍衛, 蒙古",0.14935064935064934,0.696969696969697,2.8245614035087723
"元旦, 蒙古",外藩,0.16883116883116883,0.6842105263157895,3.192982456140351
"外藩, 蒙古",元旦,0.16883116883116883,0.787878787878788,3.192982456140351
元旦,"外藩, 蒙古",0.16883116883116883,0.6842105263157895,3.192982456140351
外藩,"元旦, 蒙古",0.16883116883116883,0.787878787878788,3.192982456140351
"蒙古, 貝勒貝子",外藩,0.16883116883116883,0.65,3.0333333333333337
"外藩, 蒙古",貝勒貝子,0.16883116883116883,0.787878787878788,3.033333333333334
貝勒貝子,"外藩, 蒙古",0.16883116883116883,0.65,3.0333333333333337
外藩,"蒙古, 貝勒貝子",0.16883116883116883,0.787878787878788,3.033333333333334
"正月, 蒙古",外藩,0.16883116883116883,0.6341463414634146,2.959349593495935
"外藩, 蒙古",正月,0.16883116883116883,0.787878787878788,2.9593495934959355
正月,"外藩, 蒙古",0.16883116883116883,0.6341463414634146,2.959349593495935
外藩,"正月, 蒙古",0.16883116883116883,0.787878787878788,2.9593495934959355
"堂子, 蒙古",外藩,0.16233766233766234,0.7142857142857143,3.3333333333333335
"外藩, 蒙古",堂子,0.16233766233766234,0.7575757575757576,3.3333333333333335
堂子,"外藩, 蒙古",0.16233766233766234,0.7142857142857143,3.3333333333333335
外藩,"堂子, 蒙古",0.16233766233766234,0.7575757575757576,3.3333333333333335
"蒙古, 藩王",外藩,0.16233766233766234,0.7142857142857143,3.3333333333333335
"外藩, 蒙古",藩王,0.16233766233766234,0.7575757575757576,3.3333333333333335
藩王,"外藩, 蒙古",0.16233766233766234,0.7142857142857143,3.3333333333333335
外藩,"蒙古, 藩王",0.16233766233766234,0.7575757575757576,3.3333333333333335
"朝鮮國王, 蒙古",外藩,0.15584415584415584,0.7058823529411765,3.294117647058824
"外藩, 蒙古",朝鮮國王,0.15584415584415584,0.7272727272727273,3.294117647058824
朝鮮國王,"外藩, 蒙古",0.15584415584415584,0.7058823529411765,3.294117647058824
外藩,"朝鮮國王, 蒙古",0.15584415584415584,0.7272727272727273,3.294117647058824
"台吉, 蒙古",外藩,0.15584415584415584,0.6486486486486487,3.027027027027027
"外藩, 蒙古",台吉,0.15584415584415584,0.7272727272727273,3.027027027027027
台吉,"外藩, 蒙古",0.15584415584415584,0.6486486486486487,3.027027027027027
外藩,"台吉, 蒙古",0.15584415584415584,0.7272727272727273,3.027027027027027
"四月, 蒙古",太廟,0.1038961038961039,0.888888888888889,3.60233918128655
四月,"太廟, 蒙古",0.1038961038961039,0.8421052631578948,3.5049786628734
"實錄, 蒙古",康熙,0.44155844155844154,0.9714285714285714,1.626086956521739
"康熙, 蒙古",實錄,0.44155844155844154,0.7391304347826086,1.626086956521739
實錄,"康熙, 蒙古",0.44155844155844154,0.9714285714285714,1.626086956521739
康熙,"實錄, 蒙古",0.44155844155844154,0.7391304347826086,1.626086956521739
"蒙古, 貝勒貝子",康熙,0.2532467532467532,0.975,1.6320652173913044
貝勒貝子,"康熙, 蒙古",0.2532467532467532,0.975,1.6320652173913044
"蒙古, 貝勒貝子",實錄,0.2077922077922078,0.8000000000000002,1.7600000000000005
貝勒貝子,"實錄, 蒙古",0.2077922077922078,0.8000000000000002,1.7600000000000005
"蒙古, 諸王",貝勒貝子,0.24675324675324675,0.8444444444444444,3.2511111111111113
"蒙古, 貝勒貝子",諸王,0.24675324675324675,0.9500000000000001,3.2511111111111113
諸王,"蒙古, 貝勒貝子",0.24675324675324675,0.8444444444444444,3.2511111111111113
貝勒貝子,"蒙古, 諸王",0.24675324675324675,0.9500000000000001,3.2511111111111113
"蒙古, 貝勒貝子",大學士,0.24025974025974026,0.925,2.1583333333333337
"大學士, 蒙古",貝勒貝子,0.24025974025974026,0.5606060606060607,2.1583333333333337
貝勒貝子,"大學士, 蒙古",0.24025974025974026,0.925,2.1583333333333337
大學士,"蒙古, 貝勒貝子",0.24025974025974026,0.5606060606060607,2.1583333333333337
"蒙古, 貝勒貝子",朔,0.24025974025974026,0.925,1.8262820512820515
貝勒貝子,"朔, 蒙古",0.24025974025974026,0.925,1.8262820512820515
"蒙古, 貝勒貝子",正月,0.23376623376623376,0.9,3.380487804878049
"正月, 蒙古",貝勒貝子,0.23376623376623376,0.8780487804878049,3.380487804878049
貝勒貝子,"正月, 蒙古",0.23376623376623376,0.9,3.380487804878049
正月,"蒙古, 貝勒貝子",0.23376623376623376,0.8780487804878049,3.380487804878049
"蒙古, 貝勒貝子",八旗,0.23376623376623376,0.9,2.6653846153846152
"八旗, 蒙古",貝勒貝子,0.23376623376623376,0.6923076923076923,2.6653846153846157
貝勒貝子,"八旗, 蒙古",0.23376623376623376,0.9,2.6653846153846152
八旗,"蒙古, 貝勒貝子",0.23376623376623376,0.6923076923076923,2.6653846153846157
"蒙古, 貝勒貝子",滿洲,0.21428571428571427,0.8250000000000001,1.6500000000000001
貝勒貝子,"滿洲, 蒙古",0.21428571428571427,0.8250000000000001,1.6500000000000001
"直隸, 蒙古",康熙,0.16883116883116883,0.896551724137931,1.5007496251874064
直隸,"康熙, 蒙古",0.16883116883116883,0.896551724137931,1.5007496251874064
"直隸, 蒙古",實錄,0.15584415584415584,0.8275862068965517,1.8206896551724139
直隸,"實錄, 蒙古",0.15584415584415584,0.8275862068965517,1.8206896551724139
"蒙古, 貝勒貝子",直隸,0.13636363636363635,0.525,2.787931034482759
"直隸, 蒙古",貝勒貝子,0.13636363636363635,0.7241379310344827,2.7879310344827584
貝勒貝子,"直隸, 蒙古",0.13636363636363635,0.525,2.787931034482759
直隸,"蒙古, 貝勒貝子",0.13636363636363635,0.7241379310344827,2.7879310344827584
"直隸, 蒙古",滿洲,0.14935064935064934,0.793103448275862,1.586206896551724
直隸,"滿洲, 蒙古",0.14935064935064934,0.793103448275862,1.586206896551724
"元旦, 蒙古",直隸,0.13636363636363635,0.5526315789473684,2.934664246823956
"直隸, 蒙古",元旦,0.13636363636363635,0.7241379310344827,2.934664246823956
元旦,"直隸, 蒙古",0.13636363636363635,0.5526315789473684,2.934664246823956
直隸,"元旦, 蒙古",0.13636363636363635,0.7241379310344827,2.934664246823956
"正月, 蒙古",直隸,0.13636363636363635,0.5121951219512195,2.719932716568545
"直隸, 蒙古",正月,0.13636363636363635,0.7241379310344827,2.719932716568545
正月,"直隸, 蒙古",0.13636363636363635,0.5121951219512195,2.719932716568545
直隸,"正月, 蒙古",0.13636363636363635,0.7241379310344827,2.719932716568545
"直隸, 蒙古",八旗,0.13636363636363635,0.7241379310344827,2.144562334217506
直隸,"八旗, 蒙古",0.13636363636363635,0.7241379310344827,2.144562334217506
"直隸, 蒙古",大學士,0.13636363636363635,0.7241379310344827,1.689655172413793
直隸,"大學士, 蒙古",0.13636363636363635,0.7241379310344827,1.689655172413793
"朝鮮國王, 蒙古",直隸,0.12987012987012986,0.5882352941176471,3.123732251521298
"直隸, 蒙古",朝鮮國王,0.12987012987012986,0.689655172413793,3.123732251521298
朝鮮國王,"直隸, 蒙古",0.12987012987012986,0.5882352941176471,3.123732251521298
直隸,"朝鮮國王, 蒙古",0.12987012987012986,0.689655172413793,3.123732251521298
"堂子, 蒙古",直隸,0.12337662337662338,0.5428571428571429,2.8827586206896556
"直隸, 蒙古",堂子,0.12337662337662338,0.6551724137931034,2.882758620689655
堂子,"直隸, 蒙古",0.12337662337662338,0.5428571428571429,2.8827586206896556
直隸,"堂子, 蒙古",0.12337662337662338,0.6551724137931034,2.882758620689655
"直隸, 蒙古",諸王,0.12337662337662338,0.6551724137931034,2.242145593869732
直隸,"蒙古, 諸王",0.12337662337662338,0.6551724137931034,2.242145593869732
"王, 蒙古",直隸,0.12337662337662338,0.59375,3.15301724137931
"直隸, 蒙古",王,0.12337662337662338,0.6551724137931034,3.15301724137931
王,"直隸, 蒙古",0.12337662337662338,0.59375,3.15301724137931
直隸,"王, 蒙古",0.12337662337662338,0.6551724137931034,3.15301724137931
"直隸, 蒙古",台吉,0.11038961038961038,0.5862068965517241,2.4398881640260948
直隸,"台吉, 蒙古",0.11038961038961038,0.5862068965517241,2.4398881640260948
"直隸, 蒙古",外藩,0.11688311688311688,0.6206896551724137,2.8965517241379306
"外藩, 蒙古",直隸,0.11688311688311688,0.5454545454545455,2.8965517241379315
直隸,"外藩, 蒙古",0.11688311688311688,0.6206896551724137,2.8965517241379306
外藩,"直隸, 蒙古",0.11688311688311688,0.5454545454545455,2.8965517241379315
"直隸, 蒙古",藩王,0.11688311688311688,0.6206896551724137,2.7310344827586204
"蒙古, 藩王",直隸,0.11688311688311688,0.5142857142857143,2.731034482758621
直隸,"蒙古, 藩王",0.11688311688311688,0.6206896551724137,2.7310344827586204
藩王,"直隸, 蒙古",0.11688311688311688,0.5142857142857143,2.731034482758621
"永陵, 蒙古",康熙,0.11688311688311688,0.9473684210526315,1.585812356979405
永陵,"康熙, 蒙古",0.11688311688311688,0.9473684210526315,1.585812356979405
"永陵, 蒙古",福陵,0.11688311688311688,0.9473684210526315,7.678670360110803
"福陵, 蒙古",永陵,0.11688311688311688,0.9473684210526315,7.678670360110803
永陵,"福陵, 蒙古",0.11688311688311688,0.9473684210526315,7.678670360110803
