antecedents_str,consequents_str,support,confidence,lift
"太廟, 達賴",太皇太后,0.2,0.5,1.6666666666666667
太皇太后,"太廟, 達賴",0.2,0.6666666666666667,1.6666666666666667
"六月, 達賴",太皇太后,0.15,0.5,1.6666666666666667
太皇太后,"六月, 達賴",0.15,0.5,1.6666666666666667
"太皇太后, 達賴",吏部,0.15,0.5,1.6666666666666667
"吏部, 達賴",太皇太后,0.15,0.6,2.0
太皇太后,"吏部, 達賴",0.15,0.5,2.0
吏部,"太皇太后, 達賴",0.15,0.5,1.6666666666666667
"尚書, 達賴",吏部,0.2,0.5714285714285715,1.904761904761905
"吏部, 達賴",尚書,0.2,0.8,2.285714285714286
尚書,"吏部, 達賴",0.2,0.5714285714285715,2.285714285714286
吏部,"尚書, 達賴",0.2,0.6666666666666667,1.904761904761905
"吏部, 達賴",六月,0.15,0.6,1.7142857142857144
"六月, 達賴",吏部,0.15,0.5,1.6666666666666667
吏部,"六月, 達賴",0.15,0.5,1.6666666666666667
"太皇太后, 達賴",刑部,0.15,0.5,2.0
"刑部, 達賴",太皇太后,0.15,0.6,2.0
太皇太后,"刑部, 達賴",0.15,0.5,2.0
刑部,"太皇太后, 達賴",0.15,0.6,2.0
"丹巴, 達賴",刑部,0.15,0.5,2.0
"刑部, 達賴",丹巴,0.15,0.6,1.7142857142857144
刑部,"丹巴, 達賴",0.15,0.6,2.0
"刑部, 達賴",汗,0.15,0.6,1.7142857142857144
"汗, 達賴",刑部,0.15,0.5,2.0
刑部,"汗, 達賴",0.15,0.6,2.0
"達賴, 都御史",康熙,0.25,1.0,1.5384615384615383
都御史,"康熙, 達賴",0.25,1.0,1.6666666666666667
"七月, 達賴",都御史,0.15,0.5,2.0
"達賴, 都御史",七月,0.15,0.6,1.7142857142857144
都御史,"七月, 達賴",0.15,0.6,2.0
"實錄, 達賴",都御史,0.2,0.5,2.0
"達賴, 都御史",實錄,0.2,0.8,1.777777777777778
都御史,"實錄, 達賴",0.2,0.8,2.0
"達賴, 都御史",青海,0.15,0.6,1.7142857142857144
都御史,"達賴, 青海",0.15,0.6,1.7142857142857144
"多爾濟, 達賴",都御史,0.1,0.5,2.0
"達賴, 都御史",丹津,0.15,0.6,2.0
"丹津, 達賴",都御史,0.15,0.6,2.4
都御史,"丹津, 達賴",0.15,0.6,2.4
丹津,"達賴, 都御史",0.15,0.5,2.0
"右侍郎, 達賴",刑部,0.15,0.7499999999999999,2.9999999999999996
"刑部, 達賴",右侍郎,0.15,0.6,2.9999999999999996
右侍郎,"刑部, 達賴",0.15,0.7499999999999999,2.9999999999999996
刑部,"右侍郎, 達賴",0.15,0.6,2.9999999999999996
"太皇太后, 達賴",右侍郎,0.15,0.5,2.5
"右侍郎, 達賴",太皇太后,0.15,0.7499999999999999,2.4999999999999996
太皇太后,"右侍郎, 達賴",0.15,0.5,2.5
右侍郎,"太皇太后, 達賴",0.15,0.7499999999999999,2.4999999999999996
"右侍郎, 達賴",吏部,0.1,0.5,1.6666666666666667
右侍郎,"吏部, 達賴",0.1,0.5,2.0
"右侍郎, 達賴",郡王,0.1,0.5,2.0
右侍郎,"達賴, 郡王",0.1,0.5,2.0
右侍郎,"六月, 達賴",0.1,0.5,1.6666666666666667
"扎薩克圖, 達賴",右侍郎,0.1,0.6666666666666667,3.3333333333333335
"右侍郎, 達賴",扎薩克圖,0.1,0.5,2.5
扎薩克圖,"右侍郎, 達賴",0.1,0.5,2.5
右侍郎,"扎薩克圖, 達賴",0.1,0.5,3.3333333333333335
"右侍郎, 達賴",丹津,0.1,0.5,1.6666666666666667
右侍郎,"丹津, 達賴",0.1,0.5,2.0
右侍郎,"丹巴, 達賴",0.1,0.5,1.6666666666666667
右侍郎,"噶爾丹, 達賴",0.1,0.5,1.6666666666666667
右侍郎,"汗, 達賴",0.1,0.5,1.6666666666666667
"兵部, 達賴",右侍郎,0.2,1.0,5.0
"右侍郎, 達賴",兵部,0.2,1.0,5.0
兵部,"右侍郎, 達賴",0.2,1.0,5.0
右侍郎,"兵部, 達賴",0.2,1.0,5.0
"兵部, 達賴",刑部,0.15,0.7499999999999999,2.9999999999999996
"刑部, 達賴",兵部,0.15,0.6,2.9999999999999996
兵部,"刑部, 達賴",0.15,0.7499999999999999,2.9999999999999996
刑部,"兵部, 達賴",0.15,0.6,2.9999999999999996
"兵部, 達賴",太皇太后,0.15,0.7499999999999999,2.4999999999999996
"太皇太后, 達賴",兵部,0.15,0.5,2.5
兵部,"太皇太后, 達賴",0.15,0.7499999999999999,2.4999999999999996
太皇太后,"兵部, 達賴",0.15,0.5,2.5
"兵部, 達賴",吏部,0.1,0.5,1.6666666666666667
兵部,"吏部, 達賴",0.1,0.5,2.0
"兵部, 達賴",郡王,0.1,0.5,2.0
兵部,"達賴, 郡王",0.1,0.5,2.0
兵部,"六月, 達賴",0.1,0.5,1.6666666666666667
"兵部, 達賴",扎薩克圖,0.1,0.5,2.5
"扎薩克圖, 達賴",兵部,0.1,0.6666666666666667,3.3333333333333335
兵部,"扎薩克圖, 達賴",0.1,0.5,3.3333333333333335
扎薩克圖,"兵部, 達賴",0.1,0.5,2.5
"兵部, 達賴",丹津,0.1,0.5,1.6666666666666667
兵部,"丹津, 達賴",0.1,0.5,2.0
兵部,"丹巴, 達賴",0.1,0.5,1.6666666666666667
兵部,"噶爾丹, 達賴",0.1,0.5,1.6666666666666667
兵部,"汗, 達賴",0.1,0.5,1.6666666666666667
"達賴, 都察院",都御史,0.1,0.6666666666666667,2.666666666666667
都察院,"達賴, 都御史",0.1,0.6666666666666667,2.666666666666667
"達賴, 都察院",刑部,0.1,0.6666666666666667,2.666666666666667
都察院,"刑部, 達賴",0.1,0.6666666666666667,2.666666666666667
"達賴, 都察院",太皇太后,0.1,0.6666666666666667,2.2222222222222228
都察院,"太皇太后, 達賴",0.1,0.6666666666666667,2.2222222222222228
"達賴, 都察院",七月,0.1,0.6666666666666667,1.904761904761905
都察院,"七月, 達賴",0.1,0.6666666666666667,2.2222222222222228
都察院,"太廟, 達賴",0.1,0.6666666666666667,1.6666666666666667
"達賴, 都察院",滿洲,0.1,0.6666666666666667,3.3333333333333335
"滿洲, 達賴",都察院,0.1,0.5,3.3333333333333335
都察院,"滿洲, 達賴",0.1,0.6666666666666667,3.3333333333333335
滿洲,"達賴, 都察院",0.1,0.5,3.3333333333333335
"卿, 達賴",康熙,0.15,1.0,1.5384615384615383
卿,"康熙, 達賴",0.15,1.0,1.6666666666666667
"卿, 達賴",吏部,0.15,1.0,3.3333333333333335
"吏部, 達賴",卿,0.15,0.6,4.0
卿,"吏部, 達賴",0.15,1.0,4.0
吏部,"卿, 達賴",0.15,0.5,3.3333333333333335
"兵部, 達賴",卿,0.1,0.5,3.3333333333333335
"卿, 達賴",兵部,0.1,0.6666666666666667,3.3333333333333335
兵部,"卿, 達賴",0.1,0.5,3.3333333333333335
卿,"兵部, 達賴",0.1,0.6666666666666667,3.3333333333333335
"卿, 達賴",右侍郎,0.1,0.6666666666666667,3.3333333333333335
"右侍郎, 達賴",卿,0.1,0.5,3.3333333333333335
卿,"右侍郎, 達賴",0.1,0.6666666666666667,3.3333333333333335
右侍郎,"卿, 達賴",0.1,0.5,3.3333333333333335
"卿, 達賴",刑部,0.1,0.6666666666666667,2.666666666666667
卿,"刑部, 達賴",0.1,0.6666666666666667,2.666666666666667
"卿, 達賴",太皇太后,0.1,0.6666666666666667,2.2222222222222228
卿,"太皇太后, 達賴",0.1,0.6666666666666667,2.2222222222222228
"卿, 達賴",七月,0.1,0.6666666666666667,1.904761904761905
卿,"七月, 達賴",0.1,0.6666666666666667,2.2222222222222228
卿,"太廟, 達賴",0.1,0.6666666666666667,1.6666666666666667
"辛未, 達賴",卿,0.1,1.0,6.666666666666667
"卿, 達賴",辛未,0.1,0.6666666666666667,4.4444444444444455
辛未,"卿, 達賴",0.1,0.6666666666666667,4.4444444444444455
卿,"辛未, 達賴",0.1,0.6666666666666667,6.666666666666667
"卿, 達賴",公,0.1,0.6666666666666667,3.3333333333333335
"公, 達賴",卿,0.1,0.5,3.3333333333333335
卿,"公, 達賴",0.1,0.6666666666666667,3.3333333333333335
公,"卿, 達賴",0.1,0.5,3.3333333333333335
"卿, 達賴",布政使,0.1,0.6666666666666667,3.3333333333333335
"布政使, 達賴",卿,0.1,0.6666666666666667,4.4444444444444455
卿,"布政使, 達賴",0.1,0.6666666666666667,4.4444444444444455
布政使,"卿, 達賴",0.1,0.5,3.3333333333333335
"卿, 達賴",郡王,0.1,0.6666666666666667,2.666666666666667
卿,"達賴, 郡王",0.1,0.6666666666666667,2.666666666666667
"卿, 達賴",總兵,0.1,0.6666666666666667,2.2222222222222228
卿,"總兵, 達賴",0.1,0.6666666666666667,2.2222222222222228
"卿, 達賴",六月,0.1,0.6666666666666667,1.904761904761905
卿,"六月, 達賴",0.1,0.6666666666666667,2.2222222222222228
"卿, 達賴",尚書,0.1,0.6666666666666667,1.904761904761905
卿,"尚書, 達賴",0.1,0.6666666666666667,1.904761904761905
卿,"實錄, 達賴",0.1,0.6666666666666667,1.6666666666666667
"河南, 達賴",都御史,0.1,0.6666666666666667,2.666666666666667
河南,"達賴, 都御史",0.1,0.6666666666666667,2.666666666666667
"河南, 達賴",刑部,0.1,0.6666666666666667,2.666666666666667
河南,"刑部, 達賴",0.1,0.6666666666666667,2.666666666666667
河南,"太廟, 達賴",0.1,0.6666666666666667,1.6666666666666667
"河南, 達賴",蒙古,0.1,0.6666666666666667,3.3333333333333335
"蒙古, 達賴",河南,0.1,0.5,3.3333333333333335
