period_month,items,item_count
1661-01,丁巳|世祖|丙辰|乾清門|侍衛|公|十八年|協理|壬子|夜子刻|太廟|宗室|戊午|正月|王|王熙|王貝勒|索尼|諸王|貝勒|貝勒貝子|賈卜嘉|賈卜嘉爾|賈卜嘉進|辛丑|辛亥|順治|麻勒吉|麻勒吉學士,29
1661-02,二月|兵部|刑部|右侍郎|吏部|啟心郎|壬午|壽皇殿|外官|官役|對喀納|尼滿|崇明|工部|左侍郎|己卯|成肇毅|戶部|景山|江南|浙江|滿漢|王|直隸|知府|知縣|總督|辛巳|通判|通政使|郎廷佐|都察院|都御史|龔榜,34
1661-03,丁糧|三月|九卿|侍郎|公古睦|十八年|台吉|吏部|吳喇忒鎮|哈察哈爾|固山|國公|圖噶布楚|土默特|多羅|多羅額爾德尼|官穆生輝|實錄|巡撫|巴林|庚戌|戊申|朱爾札|朱穆秦|歸化城|江南|漕儲|漕務|濟克蘇|盛京|直隸|科爾沁|科道|穆札察罕|穆生輝|統古魯格|練達素|總兵|總理|總督|臨江|臨海|薩哈爾|褚崇克|親王|訥爾布|諾木齊|貝勒桑噶爾|貝子|辛丑|辛亥|達爾漢綽爾濟|郎廷佐|郡王|部落|鄖鎮|鄖陽|阿旺羅卜藏|陜|順治,60
1661-04,世祖|世職|侍郎|兵部|吏部|四月|壬午|外藩|太宗皇帝|太廟|太祖|宗室|尚書|尼哈番|巡按|庚辰|彝陵|御史|戊寅|湖北|滿|滿兵|王世選|番|荊州|蒙古|藩院|襄陽|覺羅科爾|部落|鑲黃旗|阿達|顧豹,33
1661-05,世俊|五月|及第|吏部|己酉|庚戌|戊申|朔|殿試|進士,10
1661-06,丙子|侯爵|傅喀禪|六月|兵部|十八年|南巡|右侍郎|巡按|巡撫|工部|左侍郎|己卯|延綏|慕義侯|戊寅|提督|撫標兵|撫臣|李逢茂|浙江|湖廣|湖廣沅州|漕|田雄|督捕|福王|總兵|總督|總管|臬|藩司|西安|辛丑|部|都御史|都督|鄖陽|順治|駐防|魏裔介,41
1661-07,一員漢大學士|一員漢學士|七月|三院|丙午|佐領|侍郎|侯祁三|保定|內國史院|六部|劉國彪|加少保|十七年|吏部|吳庫立|周祚為|咸陽|大乘|大學士|太保|太子|太廟|學士|宿州|尚書|尚陽堡|巡撫|己酉|巴哈|布顏|弘文院|戊申|撫順|曹氏|查布海|江南|江寧|溧陽縣|滿洲|漢大學士|王熙|盛京|秘書院|筆帖式|納艾元|統特晉|總管|胡世安為|胡兆龍|著額色|蕭縣|衛元堡|費齊|赫德|都督|鄂謨克圖|金之俊|鐵嶺|開元|霸州|順治|騎校|鹽城|黑成克,65
1661-08,丁未|丙午|傅格|八月|六部|冀州|參領|吏部|大學士|孔子|宗人府|宗室|官制|工部|左翼|戊申|明朝|朔|汗|河間|理藩院|禮儀|統特晉|藩王|藩院|覺羅伊圖|貝勒|郎中,28
1661-09,丁丑|三品|世祖|九月|光祿|內國史|兩淮|公白爾|兵部|十七年|卓禮克圖|卿|古木布子|司官|吏部|吳喇忒鎮國|四品|固山|圖勒弟|太僕寺|太宗|太祖|學士|官阿世熙|山東|工科|工部|己卯|布政使|廣東|弘文院|按察使|朔|江南|江西|湖廣|滿洲|甲戌|白爾圖|督捕|知府|祁通格|福建|終之禮|給事|襲爵|課額|貝子|運同|達爾扎|郎中|郡王|都察院|都御史|陜|院學士|陰應節|順治,58
1661-10,丁未|三院|世祖|乙巳|佟延年|侍讀|修撰|元年|公穆琛|十八年|十六年|十月|參政道|參議|吏部|外任|外轉|太廟|官除|實錄|寶泉局|尼哈番|巡撫|康熙|引見|戊申|昭陵|時憲|永陵|滿漢|甘肅|直隸|福陵|科道|科道官|經歷|總督|翰林|翰林院|蒙古|親王|貝勒貝子|貴州|辛丑|郡王|都察院|都御史|阿思哈|順治,49
1661-11,丁丑|世祖|丙子|侍衛臣|十一月|周季琬|國子監|圜丘|學士|宋德宜|山東|巡撫|昭陵|朔|永陵|甲戌|祭酒|福陵|秘書院|章雲鷺|縣官|考成|葉方藹|蔣國柱|藩司,25
1661-12,丁未|丙午|乙巳|兵部|十七年|十二月|右都御史|守備|安南|尚書|屯田|左侍郎|廣西|時躍|王功|糧道|總督|袁文舉|都察院,19
1661-yun07,丁丑|七月|十八年|古木布|吏科|吏部|喀爾喀卓禮克圖|土司|實錄|巡撫|工科|己卯|戊寅|朔|沅|河南|流官|滿漢官|科道官|給事|總督趙廷臣|袁廓|貴州|辛丑|郡王|都御史|順治,27
1662-01,世祖|乙亥|元年|元旦|兩宮|八旗|吳邁|壬寅|實錄|康熙|戶口|朔|柳慶昌|正月|王|甲戌|畝徵銀|藩王|辛巳|高氏|鮮國王,21
1662-02,丁未|乙巳|二月|周祚|哈番|壬寅|孔子|朔|東郊|遣大學士衛,10
1662-03,三月|世祖|乙亥|兵部|刑部|南投|吳三桂|壬申|大將|孝陵|安徽|定西|巡撫|平西王|廣東|操江|江南|王|王傑書|王化致|王岳樂父|甲戌|福建|給事|統領|緬甸|郡王|阿巴泰|陜,29
1662-04,乙巳|佟鳳彩|公噶布|南充|四川|四月|太廟|宗室|岳池|巡撫|巡撫林|平武|建昌|提督|東海|江油|江西|甲辰|癸卯|起龍|領侍衛內,21
1662-05,五月|司僉事|吏科給|吏部|周明|四川|夔|己巳|成都|按察使|朔|李國英|甲戌|癸酉|知縣|總督|蜀|進士,18
1662-06,乙巳|九卿|二十日|兩宮|六月|吏部|壬寅|尚可喜|平南王|廈門|朔|直隸|科道|總兵|貝勒|辛丑|通政使|都察院|都御史|魏裔介,20
1662-07,七月|侍郎|刑科|功次|加級紀|吏部|壬申|大學士|太廟|宗室|尚書|巡道|戊寅|敘紀錄|東濟南|登州|秘書院|給事|言官|辛未|龔鼎,21
1662-09,世祖|九月|右侍郎|吏部|太皇太后|宗文皇帝|左侍郎|庚午|廣羅總兵|朔|楊氏|王氏|甲戌|良棟|荷鴻圖|貴州督標|軍副將|辛未|陸萬頃|雲南|雲南趙州烈|馮溥,22
1662-10,世祖|二年|十月|國史院|壬寅|大學士|太廟|太皇太后|宗室|尼哈番|工部|康熙|戊戌|成克|昭陵|時憲|朱之錫|永陵|福陵|秘書院|總督|胡世巴之子|至瓜洲|辛丑|阿思哈,25
1662-11,世祖|侍衛|公噶播|副將|十一月|吏部|壬申|拉之子|朔|李榮|浙江|溫州|總兵|辛未|辛酉|郎中,16
1662-12,五品|光祿|六品|六部|典章|十二月|司官|吏部|四品|太常|太常寺|實錄|巡撫|己亥|布政使|庚子|明末|朔|江南|王岳樂|番|考滿|辛丑|阿達,24
1663-01,世祖|二年|俞曰昌妻|元旦|八旗|公穆琛|呂氏|呂爾載|堂子|太廟|太皇太后|妻莫氏|實錄|己巳|庚午|康熙|戶口|文禮妻|朔|朝鮮國王|正月|滿洲|王|甲戌|畝徵銀|癸卯|藩王|鑄錢|閔氏,29
