period_year,items,item_count
1661,一員漢大學士|一員漢學士|丁丑|丁巳|丁未|丁糧|七月|三品|三月|三院|世俊|世祖|世職|丙午|丙子|丙辰|乙巳|九卿|九月|乾清門|二月|五月|佐領|佟延年|侍衛|侍衛臣|侍讀|侍郎|侯爵|侯祁三|保定|修撰|傅喀禪|傅格|元年|光祿|內國史|內國史院|兩淮|八月|公|公古睦|公白爾|公穆琛|六月|六部|兵部|冀州|刑部|劉國彪|加少保|十一月|十七年|十二月|十八年|十六年|十月|卓禮克圖|協理|南巡|卿|參政道|參議|參領|及第|古木布|古木布子|台吉|右侍郎|右都御史|司官|吏科|吏部|吳喇忒鎮|吳喇忒鎮國|吳庫立|周季琬|周祚為|咸陽|哈察哈爾|啟心郎|喀爾喀卓禮克圖|四品|四月|固山|國公|國子監|圖勒弟|圖噶布楚|圜丘|土司|土默特|壬午|壬子|壽皇殿|外任|外官|外藩|外轉|多羅|多羅額爾德尼|夜子刻|大乘|大學士|太保|太僕寺|太子|太宗|太宗皇帝|太廟|太祖|孔子|學士|守備|安南|宋德宜|宗人府|宗室|官制|官役|官穆生輝|官阿世熙|官除|宿州|實錄|寶泉局|對喀納|尚書|尚陽堡|尼哈番|尼滿|屯田|山東|崇明|巡按|巡撫|工科|工部|左侍郎|左翼|己卯|己酉|巴哈|巴林|布政使|布顏|庚戌|庚辰|康熙|廣東|廣西|延綏|引見|弘文院|彝陵|御史|慕義侯|戊午|戊寅|戊申|成肇毅|戶部|按察使|提督|撫標兵|撫臣|撫順|明朝|昭陵|時憲|時躍|景山|曹氏|朔|朱爾札|朱穆秦|李逢茂|查布海|正月|歸化城|殿試|永陵|汗|江南|江寧|江西|沅|河南|河間|流官|浙江|湖北|湖廣|湖廣沅州|溧陽縣|滿|滿兵|滿洲|滿漢|滿漢官|漕|漕儲|漕務|漢大學士|濟克蘇|王|王世選|王功|王熙|王貝勒|理藩院|甘肅|田雄|甲戌|番|白爾圖|盛京|直隸|督捕|知府|知縣|祁通格|祭酒|福建|福王|福陵|禮儀|科爾沁|科道|科道官|秘書院|穆札察罕|穆生輝|章雲鷺|筆帖式|糧道|納艾元|索尼|終之禮|給事|統古魯格|統特晉|經歷|練達素|縣官|總兵|總理|總督|總督趙廷臣|總管|翰林|翰林院|考成|胡世安為|胡兆龍|臨江|臨海|臬|荊州|葉方藹|著額色|蒙古|蔣國柱|蕭縣|薩哈爾|藩司|藩王|藩院|衛元堡|袁廓|袁文舉|褚崇克|襄陽|襲爵|西安|親王|覺羅伊圖|覺羅科爾|訥爾布|課額|諸王|諾木齊|貝勒|貝勒桑噶爾|貝勒貝子|貝子|貴州|費齊|賈卜嘉|賈卜嘉爾|賈卜嘉進|赫德|辛丑|辛亥|辛巳|通判|通政使|進士|運同|達爾扎|達爾漢綽爾濟|郎中|郎廷佐|郡王|部|部落|都察院|都御史|都督|鄂謨克圖|鄖鎮|鄖陽|金之俊|鐵嶺|鑲黃旗|開元|阿思哈|阿旺羅卜藏|阿達|陜|院學士|陰應節|霸州|順治|顧豹|駐防|騎校|魏裔介|鹽城|麻勒吉|麻勒吉學士|黑成克|龔榜,333
1662,丁未|七月|三月|世祖|乙亥|乙巳|九卿|九月|二十日|二年|二月|五品|五月|佟鳳彩|侍衛|侍郎|元年|元旦|光祿|兩宮|八旗|公噶布|公噶播|六品|六月|六部|兵部|典章|刑科|刑部|副將|功次|加級紀|十一月|十二月|十月|南充|南投|右侍郎|司僉事|司官|吏科給|吏部|吳三桂|吳邁|周明|周祚|哈番|四品|四川|四月|國史院|壬寅|壬申|夔|大學士|大將|太常|太常寺|太廟|太皇太后|孔子|孝陵|安徽|宗室|宗文皇帝|定西|實錄|尚可喜|尚書|尼哈番|岳池|巡撫|巡撫林|巡道|工部|左侍郎|己亥|己巳|布政使|平南王|平武|平西王|庚午|庚子|康熙|廈門|廣東|廣羅總兵|建昌|戊寅|戊戌|成克|成都|戶口|拉之子|按察使|提督|操江|敘紀錄|明末|昭陵|時憲|朔|朱之錫|李國英|李榮|東海|東濟南|東郊|柳慶昌|楊氏|正月|永陵|江南|江油|江西|浙江|溫州|王|王傑書|王化致|王岳樂|王岳樂父|王氏|甲戌|甲辰|畝徵銀|番|癸卯|癸酉|登州|直隸|知縣|福建|福陵|科道|秘書院|給事|統領|緬甸|總兵|總督|考滿|胡世巴之子|至瓜洲|良棟|荷鴻圖|藩王|蜀|言官|貝勒|貴州督標|起龍|軍副將|辛丑|辛巳|辛未|辛酉|通政使|進士|遣大學士衛|郎中|郡王|都察院|都御史|阿巴泰|阿思哈|阿達|陜|陸萬頃|雲南|雲南趙州烈|領侍衛內|馮溥|高氏|魏裔介|鮮國王|龔鼎,179
1663,一龍|丁卯|丁酉|七月|三月|世祖|丙寅|丙申|丞|丹津|主事|乙丑|乙未|二十一日|二年|二月|五月|京堂|伯|伯伊爾登|例免|侍衛|俞曰昌妻|元年|元旦|內國史院|內院|八旗|八月|公穆琛|六部|兵部|刑部|劉子|十一月|十二月|十五日|十四年|十月|千把|厄魯特|參將|參領|台州|右侍郎|司僉事|司官|吏部|呂氏|呂爾載|周全|哈爾佛|哈番|哈納|嚴州二府|四川|四月|回部|國史院|城守|堂子|堂官|壬寅|外郎|多羅貝勒善|多羅貝勒噶爾瑪|大學士|大理寺|太子|太師|太廟|太皇太后|如梅|妻莫氏|孔子|孝陵|孫噶都|守備|安南|宋徵輿|宋琬|宗人府|官哈爾庫|實錄|將軍傅|少師|尼什|尼哈番|崇文|巡撫|巡道|工科|工部|左二營|左侍郎|左翼|己亥|己巳|巴拜|布政使|平南王|庚午|庚子|康熙|康皇后|廈門|廣東|張杰會|往孝陵|御史|德護|戊戌|戊辰|戶口|按察使|提標|提督|故多羅貝勒善|文禮妻|新樂|施琅|明洪武|昭陵|時憲|會典|朔|朝鮮國王|朱之瑤|李之粹|李率泰|杜趨|杭州|梁山|條奏|標統|檢討|正月|正紅旗|永陵|汀州|汗|江南|江寧|江西|江西省|河南|浙江|海澄公|湖廣|溫州|滿洲|滿漢|漕運|熊賜|營遊擊|王|王勗|班禪|瑪行|甲午|甲子|甲戌|畝徵銀|番|癸卯|癸巳|白旗|皮靜|監造|盧崇峻|祖澤溥|福建|福陵|科道官|符渭英|給事|統特晉|統穆里|統領|編修|總兵|總理|總督|總督趙廷臣|織造|考官|耿繼茂|聖壽節|胡世安|胡土克圖|臣濟農|芝光祿|若真|茶馬額數|荷蘭國|董篤行|蒙古|藩王|蘇州|蘇松|衢州|袁宗第|袁生|襲爵|西安|西山|西延綏|西藏|西鄉|覺羅|許暢|評事|貴州|賀表|赫德|輪班|進表文|達爾漢卓禮克圖|選世襲|郎中|郡王|部堂|部落|都司|都察院|都御史|鄉試|鄭錦|金山|金門|金門二島|鎮標|鎮江府|鑄錢|閔氏|阿達|陜|雅布|靖南王|馮溥|馮起|魏明|齊爾汗,243
1664,一品|丁亥|丁憂|七品|七月|三品|三月|世祖|丙寅|丙戌|中式|乙卯|乙未|九卿|九月|二十二日|二年|二月|五品|五月|京口|今漢軍漢官|佟浩年|侍衛|侍郎|保康|儀王|元年|元旦|內務府|八月|六品|六月|兵部|冠軍使|刑部|副將|劉兆麒疏|劉芳|劉進|十一月|十七年|十二月|十五日|十八日|十六年|十月|協領|博爾金|參領|同知|吏部|吳三桂|吳六奇|吳盛|吳萬福|呂宮|周召南|周有德|唐王|喇哈為|喇哈達|四品|四川|四年|四月|國史院|圖子常|圖巴|堂子|壬戌|壬辰|壽州|夔|外郎|大學士|大理寺|太保|太傅|太子|太廟|太皇太后|太祖|奇岳長|姚總兵|孝陵|學士|宗文皇帝|官役|官陳德為|實錄|寶衡|少傅|少卿|尚書|尼哈番|山東|巡撫|工科|工部|己丑|己未|巴哈|巴拜子|布政使|平西王|庚|庚午|庚寅|庚申|康熙|廖丹|廣總督|廣西|建昌|弘文院|張傑|張國柱|張彥|張賢|張長|彭而述|往孝陵|徐惺條|御史|恭城|戊午|戊子|戶部|按察使|提督|故達爾漢卓禮克圖|施琅|明珠|昭陵|時憲|會試|朔|朔日|朝鮮國王|朱由榔|李來|李國英|李率泰|李蔭祖|李長|杜楞貝勒圖|杭州|梧標|楊來|楚省|正月|武進士|武闈|歷城|歷城縣|殿試|殿門|毛壽|永陵|汀州|江南|沅|河北|河南|河官|泉州|海澄公|海豐|湖廣|湖廣彝陵|湖廣辰常|滿洲|滿漢|滿漢官|漢軍漢人|漳州|爵|猺|王|班達爾沙|甲午|甲子|甲寅|甲辰|番|癸亥|癸巳|登青萊三府|盛京|直隸|督捕|知事|知州|知府|知縣|祖澤溥|祭祀|福寧|福建|福陵|科道|秦州|竹山|竹溪|糧道|給事|統特晉|縣衛|總兵|總督|總督屈|總管|考滿|耿繼茂疏|胡茂楨|自順治|興化|興山巴歸|范承謨|荊彝|董大|蒙古|蔡祿|藩王|袁象|襄陽|襲爵|諭戶部|貝勒|貝子|貴州|賁岱|辛卯|辛酉|通政|通政司|郎中|郝搖旗|郡王|部落|郴靖二州|都督|都統|鄖襄|鄭錦殘黨|銅山|鎮將|鎮標|鑲紅旗|鑲黃旗|阿思哈|阿納海|阿達|陜|陸鰲|雲南|靖南王|項嚴|領侍衛內|饒平|駐防|齊墨克|齊河,264
1665,丁亥|丁巳|七月|三月|丙戌|丙辰|主事|乙卯|乙巳|乙酉|九月|二十日|二月|五月|以科爾沁|何進忠|元旦|八月|六月|六科|兵部|其貴州|劉兆麒|劉漢儒|十一月|十二月|十月|南巡|南府|南昌|南漳|台吉|右侍郎|吏部|吳三桂|吳庫立|哈番|四川|四年|四月|固山|圈地|圖爾親|地丁|堂子|壬午|壬子|壬辰|外郎|多羅冰圖|大名府|大理寺|太原|太廟|太皇太后|奉國將|奉天|孝陵|官馬維興|實錄|少卿|尼哈番|山東|山西|山西太原|巡撫|工部|左侍郎|己丑|己未|巴哈|布政使|常寺卿|平南王|平西王|平陽府|庚戌|康熙|廣東|廣西|建昌|御史|德州|恩格|慕仁伯陳輝|懋功|戊|戊午|戊子|戶口|戶部|按察使|掌印|提督|明末|昭陵|時憲|普蚌山|書吏|朔|朝鮮國王|朱昌祚|李率泰|李粹然|桂林|楊德|楊道生|正月|武榮元|永和|永陵|江南|江西|江都|沙喇哈番|河南|河間|浙|湖廣|湖廣茅麓|滿漢官|潘士秀|王|王滿|王班|珠習|班敦|甲寅|甲申|番|番桑圖|癸丑|癸未|直隸|知府|碩達爾漢巴|祿昌賢|福建|福陵|科道官|管官|統喇哈達|總兵|總兵羅大順|總督|總管|聖壽節|蒙古|薩賽|藍旗|藩王|蘇拜長|蘇松常道|襲爵|西山|西肅州|西蘭州|貴州|起科|辛巳|遊擊|郎中|郝惟訥|郝承裔|郡王|部試|都察院|都御史|都督|都統|鄭致|鑲黃旗|開州|阿思哈|阿爾納嘎爾瑪|阿達|陜|雅布|雲南|青州府|韓世琦|額參|駐防|高承恩|鹽引,185
1666,丁丑|丁未|七月|三司首|三月|世祖|丙午|丙子|丙戌|丞|丞高|中山王|丹津|九月|五月|侍讀|俸銀|元旦|內務府|八旗|八月|公|公穆琛|六月|兼禮部|刑科|刑部|劉光漢妻|劉文|十一月|十二月|十月|厄魯|右侍郎|司僉事|吏部|吳應期|周明|周有德|啟隆|四川|四年|四月|回部|土司|土目|地方官|堂子|壬午|壬子|多羅|大學士|大定|大方|太廟|太皇太后|奉天|孝陵|學士|安坤|安陸衛|宗人府|官缺|官調|官馬寧|實錄|寧州|寧遠|尋武霑|對喀納|尚可喜|尚書|尚質|尼哈番|山東|山東道|岳州|巡撫|工部|左侍郎|左營|差扎魯|己卯|己酉|布政使|常德|常春|平南王|平西王|平遠|平遠府|庚戌|庚辰|康熙|廣東|廣西|弘文院|張占|張朝|張登選|張維赤|御史|戊寅|戊申|按察使|文闈額|明珠|昭陵|時憲|曹熙|曹秉桓|朔|朔日|朝貢|朝鮮國王|朱之弼|李氏|正月|正藍旗|武寧|武生|武鄉|水西|永陵|江西|沔陽|沔陽州|沙府|河南|海喇遜|清明|湖南|湖廣|溫氏|滿代妻|滿洲|潜江|照磨|王|王熙|王賜元|理藩|琉球|瑪行|生員例|甲戌|癸丑|癸卯|癸酉|白旗|直隸|督撫|知事|知縣|石申|碣石|祥縣|福建|福陵|科臣|科道|秘書院|給事|統穆里|經歷|總兵|總督|總督苗|總管|蒙古|蔚之煥|蔡毓榮|藍旗|藩王|蘇利功|虞城|襲職|西山|許世昌|諸王|貝勒桑噶爾|貝勒貝子|貴連妻|辛亥|辛巳|通判|進春|那氏|郎中|郝惟訥|郡王|都察院|都御史|金佐明|錫拉代妻|開化|開化鎮|開缺|阿豆|雜職|雲南|順治|鮑瑞魁|黔西|龔鼎,205
1667,一品|丁丑|丁未|七品|七年|七月|三品|三月|三院|世襲|丙午|丙子|丞|乙亥|乙巳|九卿|九月|二品|二月|于大海|五品|五城|五月|京畿道|仁安驛|伯|但錫爵|佐領|侍衛|侍讀|侍郎|元旦|光祿|光祿寺|內務府|內院|八旗|八月|公|公爵|六品|六月|兵部|其漢軍漢人|典籍|刑科|刑部|助教|十二月|十四年|十月|南苑|博士|卿|司僉事|司官|同知|吏部|員外|員缺|啟心郎|四品|四川|四月|固山|國子監|地方官|堂子|壬寅|壬申|大學士|大理寺|太僕寺|太原|太常寺|太廟|太皇太后|姚文然|孔子|孝陵|孫石|學士|學政|守令|守南道|守寧道|守東道|安化|宗人府|官役|實錄|寧武道|少卿|尚善|尚書|尼哈番|山東|山西|岐山|岢嵐道|崇德|巡南道|巡撫|工部|己亥|己卯|己巳|布政使|布政司|常寺卿|平西王|平陽府|庚午|康熙|廣東|弘文院|張勇|律書|御史|戊寅|成都|戶部|按察使|掌印|提督|提調|教習|旗人|明教|昭陵|時憲|會典|朔|朝鮮國王|李來|李有|東郊|條例|條奏|楊熙|正月|永陵|江南|江西|河保營|河南|浙江|清明|湖廣|湖廣道|滿洲|滿漢|漢官會|漢軍學士|漢軍漢人|漢軍漢學士|潞安|熊賜履|爾濟哈|王|王之治|王來|王公|王熙|理藩|瑪行|甘肅|甲戌|甲辰|番|癸卯|癸酉|登仕家屬|登仕為|白秉真|盧崇峻|直隸|督捕|知事|知府|祭酒|福建|福陵|科道|筆帖式|索尼|給事|統穆里|經歷|縣君婿|總兵|總督|繼祖|考課|考選|舉人|蒙古|蕭震疏|薛所蘊|藍旗漢|藩王|藩院|襲職|西山|親政|覺羅塔達|覺羅巴爾|言官|評事|諸王|議政王|讀學士|讀祝官|貝勒|貝勒貝子|貝子|贊禮部|赫里|辛丑|辛未|通判|通政|通政使|遊擊石|郎中|部落|都察院|都御史|都督|鄂齊|鄭世襲|鄭知|鄭芝龍|鑲黃旗|閩|阿喇卜坦|阿喇納|阿思哈|陜|陝西|雲南|雲貴|順治|驛傳|高雷|魏裔介|龐之治,247
1668,丁卯|丁酉|七年|七月|三元|三月|丙寅|丙申|主簿|乙丑|乙未|九月|二年|五月|伊有財|伯車爾布|佟光|侍衛|侍讀|侍郎|元旦|內務府|內國史院|八月|六月|六部|兵科|兵部|劉斗|劉芳躅|劉進|努山|十一月|十二月|十月|南苑|卞|古溝鎮|古龍|台吉|右侍郎|司官|同知|吏部|吳俊親|吳明|吳瑪護|周橋閘|周祚|喀爾喀戴青|喀爾喀會盟|四年|四月|地方官|堂子|報山|壬寅|夏家橋|大學士|大學士衛|太廟|太皇太后|奉天|孔子|孝陵|學士|安山|官馬紹|實錄|將軍|將軍江寧|尚書|尼哈番|山東|山西|巡撫|工科|工部|工部侍郎|左侍郎|左江|左翼|己亥|己巳|己酉|布政使|常寺卿|常進|常鼐|平凉|庚午|庚子|康熙|廣東|廣西|弘文院|御史|戊戌|戊申|戊辰|成額|戶部|按察使|推官|提督|提鎮|故明|敖色|昭陵|時憲|暹羅國|會典|朔|朝鮮國王|朱之弼|李宗孔|東巡撫|正月|永陵|江寧將|江西|河南|河臣|泗州|淮揚|淮水|清口|湖廣黃岡|滿洲|滿漢|滿漢官|漕|漕運|漢軍各官|王|王森烈|王熙|甘肅|甲辰|癸亥|白秉真|盛京|盱眙|直隸|督捕|督撫|知府|祖澤溥|福建|福陵|秘書院|程芳朝|米思翰|給事|縣官|總兵|總河|總督|總管|翟家壩|老子|蒙古|藍旗|藩王|襲職|西安|西莊浪|諸王|護軍統|貝勒貝子|貴州|起科|辛丑|辛卯|辛未|通判|通政|達哈塔|達爾布|邵伯|郎中|部|都察院|都御史|都統|鄂善|鄭致|阿席熙|阿思哈|陜|陸坤司|雲南|高寶等|高郵寶應|魏韜嘯|鹽政|麻哈州令,197
1669,一月|七月|三月|世祖|丙寅|乙未|九月|二年|二月|五月|伊思哈|佛倫布|侍衛|侍衛費耀色|侍郎|俞鐸|元旦|兄趙布|內班布爾善|內閣|八旗|八月|公爵|六月|兵部|其世職|典籍|刑部|劉之源|劉光|十一月|十二月|十月|卓保子|卓林承襲|博禮|卿|厄魯特|台吉|右侍郎|吉士|吏部|吳格塞|吳格塞布|吳格塞額爾德|哈番|哈納卓靈|喀爾喀戴青|喇哈達|四川|四月|圖爾格|堂子|壬戌|壬辰|外藩|大學士|太保|太僕寺|太子|太宗皇帝|太師|太廟|太皇太后|奉天|孝陵|孫阿圖|學士|宗人府|宗室|宗文皇帝|宜理布|實錄|封爵|將軍吳瑪護|尋甸府|尚書|尚書噶褚哈|尚書祁徹|尚書葉|尚書馬邇|尼哈番|山東|山西|山西大同|巡撫|巡撫王|工部|左侍郎|己丑|己未|己酉|巴泰|布太|布政使|布爾善|布爾尼|布達禮|希福|常寺卿|平江|平遠|庚寅|庚申|康熙|康皇后|張爾素|御史|戊子|戊戌|成額|戶部|按察使|教習|散館|斬馬邇|旨班布爾善|明安達禮|昭陵|時憲|曲靖|朔|未時|本旗|朱昌祚|李慶|杭愛|林丹汗|正月|正紅旗|武鄉試|永陵|汗|江南|江寧|汪之洙|沙喇哈番|河南|浙江|海子|湖南|湖廣黃梅|滿洲|熊賜|爵班布爾善|獲鹿柏鄉|王|王傑|王岳樂|王弘祚|王清為|王爵|王蘭布|班布爾善|瑪塞本|瑪泰|瑪馬邇|甲午|甲子|畢什克圖|癸亥|癸巳|登聞鼓|白乃心|白旗|直隸|直隸束|督捕|知府|碩代桑|碩敬|福陵|科臣|科道|穆成額|穆里瑪|筆帖式|納克羅多|索倫噶爾圖|統穆里|統覺羅塔達|總兵|總督|纂修|罪班布爾善|考試|舒爾虎|良棟|莫佛倫|莫泰|葉成|蒙古|蔣國柱|薩木布|藍旗|藩王|藩院|蘇克薩哈|蘇爾馬|蘇爾馬班|蘇納海|褚哈|褚哈泰|褚哈濟|褚哈穆里|親政|親王|覺羅勒德洪|覺羅班敦|覺羅碩博會|諸王|議政王|議政處|護軍參領|護軍統|貝勒|貝勒貝子|貴州|費耀色|辛卯|辛酉|通判|通政使|進春|遏必隆|達布達|達禮|達賴|選官|部尚書|郭爾渾|郭爾親|郭禮|都察院|都御史|都統|鄂羅斯察漢汗|配享|鑲黃旗|阿布柰子|阿思哈|阿戎|阿魯山|陜|領侍衛內|領賴塔|額哲|額爾德|高辛|鮮國王|鹿縣|黨班布爾善|齊爾汗|龔鼎,254
1670,丁亥|丁巳|七年|七月|三月|世祖|丙戌|丙辰|丹津|乙卯|乙酉|九卿|九州|九月|二十一日|二十六日|二年|二月|五月|侍讀|元旦|內國史|內閣|內院|八月|公額|六月|典籍|刑部|初一|前明|劉國柱|劉恒祥|劉祚遠|十一月|十七年|十七日|十二月|十八年|十四年|十月|午時|南巡|南苑|博濟|博野|卜臣|參領|史德業|右侍郎|吉士|同知|吏部|吳應|吳本立|吳氏|周之麟|周氏|喀爾喀扎|喀爾喀索諾|嚴正矩|四川|四月|國史院|圖海|城外|堂子|壬戌|壽光縣|外郎齊|大學士|天命|太倉|太和殿|太宗|太廟|太皇太后|太祖|威寧|婁縣|孔子|孝康章|孝陵|孟亮|學士|宋允昌|宗人府|宗文皇帝|實錄|尚書|尼哈番|山東|山東陽信|巡徽寧道|巡撫|巡鳳廬|工部|左侍郎|左宗正|己丑|己未|巳|巴克|常鼐|庚寅|庚戌|庚申|康熙|廖廷|廣西|張宿|張德地|張氏|張鵬翮|御史|德赫勒|懋功|戊午|戊子|戶部|房氏|掌印|撒爾達|教習|文廟|文運亨妻|昭陵|時憲|朔|朝鮮國王|朱典|朱萬年|李之芳|李之芳謂|李光地|李化熙|李夢庚|李應|李振裕|李格聘妻|李錄|李阜|杜立德|杜鎮|東郊|格爾古德|桃源|楊光廷妻|楊氏|正月|正紅旗|正黃旗|武縣|永陵|汗|江南|江夏|沈獨立|河南|泰安|浙江|海豐縣|淮揚|淮海|湖廣|滇|滿|滿洲|漕|潘九|濰縣|濱州|王|王岳樂|王氏|王維珍|班布爾善|瑪訥|田逢|甲寅|甲申|甲辰|癸|癸丑|癸巳|白旗|睢寧縣|知縣|碩額|磁州安陽|祖文謨|福寧州|福州|福建|福陵|禮儀|科道|秘書院|編修|總兵|總裁官|纂修|翟延初|翰林院|考選|耿願|聶等進|膠州|臨桂縣|興泉|范承謨|董安國|蒙古|薩克圖|藩下|藩王|蘇松常道|襲爵|襲職|西洋|覺羅|許孫荃|諸王|講官|護軍參領|護軍統|貝勒|貝勒貝子|貢士|貴州|賦喀爾|進士|運使|遲彥|邵道|郡王|都統|鄭氏|配享|鎮國將|鑲黃旗|閔鼎重|阿喇納|阿思哈|阿育璽子|阿豐肅|院學士|雲南|雷趙文|靖南王|韓士|順治|養德妻|高璜|魏裔|魏裔介|魯陳琛|龍妻|龐氏城,259
